CYCLE	CMDPOS0	CMDPOS1	CMDPOS2
1360	0	0	0
1361	0	0	0
1362	0	0	0
1363	0	0	0
1364	0	0	0
1365	0	0	0
1366	0	0	0
1367	0	0	0
1368	0	0	0
1369	0	0	0
1370	0	0	0
1371	0	0	0
1372	0	0	0
1373	0	0	0
1374	0	0	0
1375	0	0	0
1376	0	0	0
1377	0	0	0
1378	0	0	0
1379	0	0	0
1380	0	0	0
1381	0	0	0
1382	0	0	0
1383	0	0	0
1384	0	0	0
1385	0	0	0
1386	0	0	0
1387	0	0	0
1388	0	0	0
1389	0	0	0
1390	0	0	0
1391	0	0	0
1392	0	0	0
1393	0	0	0
1394	0	0	0
1395	0	0	0
1396	0	0	0
1397	1	0	0
1398	1	0	0
1399	1	0	0
1400	1	0	0
1401	1	0	0
1402	1	0	0
1403	1	0	0
1404	1	0	0
1405	1	0	0
1406	1	0	0
1407	1	0	0
1408	1	0	0
1409	1	0	0
1410	1	0	0
1411	1	0	0
1412	1	0	0
1413	2	0	0
1414	2	0	0
1415	2	0	0
1416	2	0	0
1417	2	0	0
1418	2	0	0
1419	2	0	0
1420	2	0	0
1421	2	0	0
1422	2	0	0
1423	2	0	0
1424	2	0	0
1425	3	0	0
1426	3	0	0
1427	3	0	0
1428	3	0	0
1429	3	0	0
1430	3	0	0
1431	3	0	0
1432	3	0	0
1433	3	0	0
1434	4	0	0
1435	4	0	0
1436	4	0	0
1437	4	0	0
1438	4	0	0
1439	4	0	0
1440	4	0	0
1441	4	0	0
1442	5	0	0
1443	5	0	0
1444	5	0	0
1445	5	0	0
1446	5	0	0
1447	5	0	0
1448	5	0	0
1449	6	0	0
1450	6	0	0
1451	6	0	0
1452	6	0	0
1453	6	0	0
1454	6	0	0
1455	7	0	0
1456	7	0	0
1457	7	0	0
1458	7	0	0
1459	7	0	0
1460	7	0	0
1461	8	0	0
1462	8	0	0
1463	8	0	0
1464	8	0	0
1465	8	0	0
1466	8	0	0
1467	9	0	0
1468	9	0	0
1469	9	0	0
1470	9	0	0
1471	9	0	0
1472	10	0	0
1473	10	0	0
1474	10	0	0
1475	10	0	0
1476	10	0	0
1477	11	0	0
1478	11	0	0
1479	11	0	0
1480	11	0	0
1481	11	0	0
1482	12	0	0
1483	12	0	0
1484	12	0	0
1485	12	0	0
1486	13	0	0
1487	13	0	0
1488	13	0	0
1489	13	0	0
1490	13	0	0
1491	14	0	0
1492	14	0	0
1493	14	0	0
1494	14	0	0
1495	15	0	0
1496	15	0	0
1497	15	0	0
1498	15	0	0
1499	16	0	0
1500	16	0	0
1501	16	0	0
1502	16	0	0
1503	17	0	0
1504	17	0	0
1505	17	0	0
1506	17	0	0
1507	18	0	0
1508	18	0	0
1509	18	0	0
1510	18	0	0
1511	19	0	0
1512	19	0	0
1513	19	0	0
1514	20	0	0
1515	20	0	0
1516	20	0	0
1517	20	0	0
1518	21	0	0
1519	21	0	0
1520	21	0	0
1521	22	0	0
1522	22	0	0
1523	22	0	0
1524	22	0	0
1525	23	0	0
1526	23	0	0
1527	23	0	0
1528	24	0	0
