CYCLE	CMDPOS0	CMDPOS1
939	0	0
940	0	0
941	0	0
942	0	0
943	0	0
944	0	0
945	0	0
946	0	0
947	0	0
948	0	0
949	0	0
950	0	0
951	0	0
952	0	0
953	0	0
954	0	0
955	0	0
956	0	0
957	0	0
958	0	0
959	0	0
960	0	0
961	0	0
962	0	0
963	0	0
964	0	0
965	0	0
966	1	0
967	1	0
968	1	0
969	1	0
970	1	0
971	1	0
972	1	0
973	1	0
974	1	0
975	1	0
976	1	0
977	1	0
978	2	1
979	2	1
980	2	1
981	2	1
982	2	1
983	2	1
984	2	1
985	2	1
986	3	1
987	3	1
988	3	1
989	3	1
990	3	1
991	3	1
992	4	1
993	4	1
994	4	1
995	4	1
996	4	1
997	4	1
998	5	2
999	5	2
1000	5	2
1001	5	2
1002	5	2
1003	6	2
1004	6	2
1005	6	2
1006	6	2
1007	6	2
1008	7	2
1009	7	2
1010	7	2
1011	7	2
1012	8	3
1013	8	3
1014	8	3
1015	8	3
1016	9	3
1017	9	3
1018	9	3
1019	10	3
1020	10	3
1021	10	3
1022	10	3
1023	11	4
1024	11	4
1025	11	4
1026	12	4
1027	12	4
1028	12	4
1029	12	4
1030	13	4
1031	13	4
1032	13	4
1033	14	5
1034	14	5
1035	14	5
1036	15	5
1037	15	5
1038	15	5
1039	16	5
1040	16	5
1041	17	6
1042	17	6
1043	17	6
1044	18	6
1045	18	6
1046	18	6
1047	19	6
1048	19	6
1049	20	7
1050	20	7
1051	20	7
1052	21	7
1053	21	7
1054	22	7
1055	22	7
1056	22	7
1057	23	8
1058	23	8
1059	24	8
1060	24	8
1061	25	8
1062	25	8
1063	26	9
1064	26	9
1065	26	9
1066	27	9
1067	27	9
1068	28	9
1069	28	9
1070	29	10
1071	29	10
1072	30	10
1073	30	10
1074	31	10
1075	31	10
1076	32	11
1077	32	11
1078	33	11
1079	33	11
1080	34	11
1081	34	11
1082	35	12
1083	35	12
1084	36	12
1085	36	12
1086	37	12
1087	38	13
1088	38	13
1089	39	13
1090	39	13
1091	40	13
1092	40	13
1093	41	14
1094	41	14
1095	42	14
1096	43	14
1097	43	14
1098	44	15
1099	44	15
1100	45	15
1101	46	15
1102	46	15
1103	47	16
1104	47	16
1105	48	16
1106	49	16
1107	49	16
1108	50	17
1109	50	17
1110	51	17
1111	52	17
1112	52	17
1113	53	18
1114	53	18
1115	54	18
1116	55	18
1117	55	18
1118	56	19
1119	56	19
1120	57	19
1121	58	19
1122	58	19
1123	59	20
1124	59	20
1125	60	20
1126	61	20
1127	61	20
1128	62	21
1129	62	21
1130	63	21
1131	64	21
1132	64	21
1133	65	22
1134	65	22
1135	66	22
1136	67	22
1137	67	22
1138	68	23
1139	68	23
1140	69	23
1141	70	23
1142	70	23
1143	71	24
1144	71	24
1145	72	24
1146	73	24
1147	73	24
1148	74	25
1149	74	25
1150	75	25
1151	76	25
1152	76	25
1153	77	26
1154	77	26
1155	78	26
1156	79	26
1157	79	26
1158	80	27
1159	80	27
1160	81	27
1161	82	27
1162	82	27
1163	83	28
1164	83	28
1165	84	28
1166	85	28
1167	85	28
1168	86	29
1169	86	29
1170	87	29
1171	88	29
1172	88	29
1173	89	30
1174	89	30
1175	90	30
1176	91	30
1177	91	30
1178	92	31
1179	92	31
1180	93	31
1181	94	31
1182	94	31
1183	95	32
1184	95	32
1185	96	32
1186	97	32
1187	97	32
1188	98	33
1189	98	33
1190	99	33
1191	100	33
1192	100	33
1193	101	34
1194	101	34
1195	102	34
1196	103	34
1197	103	34
1198	104	35
1199	104	35
1200	105	35
1201	106	35
1202	106	35
1203	107	36
1204	107	36
1205	108	36
1206	109	36
1207	109	36
1208	110	37
1209	110	37
1210	111	37
1211	112	37
1212	112	37
1213	113	38
1214	113	38
1215	114	38
1216	115	38
1217	115	38
1218	116	39
1219	116	39
1220	117	39
1221	118	39
1222	118	39
1223	119	40
1224	119	40
1225	120	40
1226	121	40
1227	121	40
1228	122	41
1229	122	41
1230	123	41
1231	124	41
1232	124	41
1233	125	42
1234	125	42
1235	126	42
1236	127	42
1237	127	42
1238	128	43
1239	128	43
1240	129	43
1241	130	43
1242	130	43
1243	131	44
1244	131	44
1245	132	44
1246	133	44
1247	133	44
1248	134	45
1249	134	45
1250	135	45
1251	136	45
1252	136	45
1253	137	46
1254	137	46
1255	138	46
1256	139	46
1257	139	46
1258	140	47
1259	140	47
1260	141	47
1261	142	47
1262	142	47
1263	143	48
1264	143	48
1265	144	48
1266	145	48
1267	145	48
1268	146	49
1269	146	49
1270	147	49
1271	148	49
1272	148	49
1273	149	50
1274	149	50
1275	150	50
1276	151	50
1277	151	50
1278	152	51
1279	152	51
1280	153	51
1281	154	51
1282	154	51
1283	155	52
1284	155	52
1285	156	52
1286	157	52
1287	157	52
1288	158	53
1289	158	53
1290	159	53
1291	160	53
1292	160	53
1293	161	54
1294	161	54
1295	162	54
1296	163	54
1297	163	54
1298	164	55
1299	164	55
1300	165	55
1301	166	55
1302	166	55
1303	167	56
1304	167	56
1305	168	56
1306	169	56
1307	169	56
1308	170	57
1309	170	57
1310	171	57
1311	172	57
1312	172	57
1313	173	58
1314	173	58
1315	174	58
1316	175	58
1317	175	58
1318	176	59
1319	176	59
1320	177	59
1321	178	59
1322	178	59
1323	179	60
1324	179	60
1325	180	60
1326	181	60
1327	181	60
1328	182	61
1329	182	61
1330	183	61
1331	184	61
1332	184	61
1333	185	62
1334	185	62
1335	186	62
1336	187	62
1337	187	62
1338	188	63
1339	188	63
1340	189	63
1341	190	63
1342	190	63
1343	191	64
1344	191	64
1345	192	64
1346	193	64
1347	193	64
1348	194	65
1349	194	65
1350	195	65
1351	196	65
1352	196	65
1353	197	66
1354	197	66
1355	198	66
1356	199	66
1357	199	66
1358	200	67
1359	200	67
1360	201	67
1361	202	67
1362	202	67
1363	203	68
1364	203	68
1365	204	68
1366	205	68
1367	205	68
1368	206	69
1369	206	69
1370	207	69
1371	208	69
1372	208	69
1373	209	70
1374	209	70
1375	210	70
1376	211	70
1377	211	70
1378	212	71
1379	212	71
1380	213	71
1381	214	71
1382	214	71
1383	215	72
1384	215	72
1385	216	72
1386	217	72
1387	217	72
1388	218	73
1389	218	73
1390	219	73
1391	220	73
1392	220	73
1393	221	74
1394	221	74
1395	222	74
1396	223	74
1397	223	74
1398	224	75
1399	224	75
1400	225	75
1401	226	75
1402	226	75
1403	227	76
1404	227	76
1405	228	76
1406	229	76
1407	229	76
1408	230	77
1409	230	77
1410	231	77
1411	232	77
1412	232	77
1413	233	78
1414	233	78
1415	234	78
1416	235	78
1417	235	78
1418	236	79
1419	236	79
1420	237	79
1421	238	79
1422	238	79
1423	239	80
1424	239	80
1425	240	80
1426	241	80
1427	241	80
1428	242	81
1429	242	81
1430	243	81
1431	244	81
1432	244	81
1433	245	82
1434	245	82
1435	246	82
1436	247	82
1437	247	82
1438	248	83
1439	248	83
1440	249	83
1441	250	83
1442	250	83
1443	251	84
1444	251	84
1445	252	84
1446	253	84
1447	253	84
1448	254	85
1449	254	85
1450	255	85
1451	256	85
1452	256	85
1453	257	86
1454	257	86
1455	258	86
1456	259	86
1457	259	86
1458	260	87
1459	260	87
1460	261	87
1461	261	87
1462	262	87
1463	262	87
1464	263	88
1465	264	88
1466	264	88
1467	265	88
1468	265	88
1469	266	89
1470	266	89
1471	267	89
1472	267	89
1473	268	89
1474	268	89
1475	269	90
1476	269	90
1477	270	90
1478	270	90
1479	271	90
1480	271	90
1481	272	91
1482	272	91
1483	273	91
1484	273	91
1485	274	91
1486	274	91
1487	274	91
1488	275	92
1489	275	92
1490	276	92
1491	276	92
1492	277	92
1493	277	92
1494	278	93
1495	278	93
1496	278	93
1497	279	93
1498	279	93
1499	280	93
1500	280	93
1501	280	93
1502	281	94
1503	281	94
1504	282	94
1505	282	94
1506	282	94
1507	283	94
1508	283	94
1509	283	94
1510	284	95
1511	284	95
1512	285	95
1513	285	95
1514	285	95
1515	286	95
1516	286	95
1517	286	95
1518	287	96
1519	287	96
1520	287	96
1521	288	96
1522	288	96
1523	288	96
1524	288	96
1525	289	96
1526	289	96
1527	289	96
1528	290	97
1529	290	97
1530	290	97
1531	290	97
1532	291	97
1533	291	97
1534	291	97
1535	292	97
1536	292	97
1537	292	97
1538	292	97
1539	293	98
1540	293	98
1541	293	98
1542	293	98
1543	294	98
1544	294	98
1545	294	98
1546	294	98
1547	294	98
1548	295	98
1549	295	98
1550	295	98
1551	295	98
1552	295	98
1553	296	99
1554	296	99
1555	296	99
1556	296	99
1557	296	99
1558	296	99
1559	297	99
1560	297	99
1561	297	99
1562	297	99
1563	297	99
1564	297	99
1565	298	99
1566	298	99
1567	298	99
1568	298	99
1569	298	99
1570	298	99
1571	298	99
1572	298	99
1573	299	100
1574	299	100
1575	299	100
1576	299	100
1577	299	100
1578	299	100
1579	299	100
1580	299	100
1581	299	100
1582	299	100
1583	299	100
1584	299	100
1585	300	100
1586	300	100
1587	300	100
1588	300	100
1589	300	100
1590	300	100
1591	300	100
1592	300	100
1593	300	100
1594	300	100
1595	300	100
1596	300	100
1597	300	100
1598	300	100
1599	300	100
1600	300	100
1601	300	100
1602	300	100
1603	300	100
1604	300	100
1605	300	100
1606	300	100
1607	300	100
1608	300	100
1609	300	100
1610	300	100
1611	300	100
1612	300	100
1613	300	100
1614	300	100
1615	300	100
1616	300	100
1617	300	100
1618	300	100
1619	300	100
1620	300	100
1621	300	100
1622	300	100
1623	300	100
1624	300	100
1625	300	100
1626	300	100
1627	300	100
1628	300	100
1629	300	100
1630	300	100
1631	300	100
1632	300	100
1633	300	100
1634	300	100
1635	300	100
1636	300	100
1637	300	100
1638	300	100
1639	300	100
1640	300	100
1641	300	100
1642	300	100
1643	300	100
1644	300	100
1645	300	100
1646	300	100
1647	300	100
1648	300	100
1649	300	100
1650	300	100
1651	300	100
1652	300	100
1653	300	100
1654	300	100
1655	300	100
1656	300	100
1657	300	100
1658	300	100
1659	300	100
1660	300	100
1661	300	100
1662	300	100
1663	300	100
1664	300	100
1665	300	100
1666	300	100
1667	300	100
1668	300	100
1669	300	100
1670	300	100
1671	300	100
1672	300	100
1673	300	100
1674	300	100
1675	300	100
1676	300	100
