CYCLE	CMDPOS2	CMDPOS3
920	0	0
921	0	0
922	0	0
923	0	0
924	0	0
925	0	0
926	0	0
927	0	0
928	0	0
929	0	-0
930	0	-0
931	0	-0
932	0	-0
933	0	-0
934	0	-0
935	1	-0
936	1	-0
937	1	-0
938	1	-0
939	1	-0
940	1	-0
941	2	-0
942	2	-0
943	2	-0
944	3	-0
945	3	-0
946	3	-0
947	3	-0
948	4	-0
949	4	-0
950	4	-1
951	5	-1
952	5	-1
953	6	-1
954	6	-1
955	6	-1
956	7	-0
957	7	-0
958	7	-0
959	8	-0
960	8	-0
961	9	-0
962	9	-0
963	9	-0
964	10	-0
965	10	0
966	11	0
967	11	0
968	11	0
969	12	1
970	12	1
971	12	1
972	13	1
973	13	1
974	14	1
975	14	2
976	14	2
977	15	2
978	15	2
979	15	2
980	16	3
981	16	3
982	16	3
983	17	3
984	17	4
985	17	4
986	18	4
987	18	5
988	19	5
989	19	5
990	19	5
991	20	6
992	20	6
993	20	6
994	21	7
995	21	7
996	21	8
997	22	8
998	22	8
999	22	9
1000	23	9
1001	23	9
1002	23	10
1003	24	10
1004	24	11
1005	24	11
1006	25	11
1007	25	12
1008	25	12
1009	25	13
1010	26	13
1011	26	14
1012	26	14
1013	27	15
1014	27	15
1015	27	16
1016	28	16
1017	28	16
1018	28	17
1019	29	17
1020	29	18
1021	29	18
1022	30	19
1023	30	19
1024	30	20
1025	31	20
1026	31	21
1027	31	21
1028	32	22
1029	32	22
1030	32	23
1031	33	23
1032	33	24
1033	33	24
1034	33	25
1035	34	26
1036	34	26
1037	34	27
1038	35	27
1039	35	28
1040	35	28
1041	36	29
1042	36	29
1043	36	30
1044	37	30
1045	37	31
1046	37	31
1047	38	32
1048	38	32
1049	38	33
1050	39	34
1051	39	34
1052	39	35
1053	40	35
1054	40	36
1055	40	36
1056	41	37
1057	41	37
1058	41	38
1059	42	38
1060	42	39
1061	42	39
1062	43	40
1063	43	40
1064	43	41
1065	44	42
1066	44	42
1067	44	43
1068	45	43
1069	45	44
1070	46	44
1071	46	45
1072	46	45
1073	47	46
1074	47	46
1075	47	47
1076	48	47
1077	48	48
1078	48	48
1079	49	49
1080	49	49
1081	50	50
1082	50	50
1083	50	50
1084	51	51
1085	51	51
1086	52	52
1087	52	52
1088	52	53
1089	53	53
1090	53	54
1091	54	54
1092	54	54
1093	54	55
1094	55	55
1095	55	56
1096	56	56
1097	56	57
1098	56	57
1099	57	57
1100	57	58
1101	58	58
1102	58	59
1103	58	59
1104	59	59
1105	59	60
1106	60	60
1107	60	61
1108	61	61
1109	61	61
1110	61	62
1111	62	62
1112	62	63
1113	63	63
1114	63	63
1115	64	64
1116	64	64
1117	64	64
1118	65	65
1119	65	65
1120	66	65
1121	66	66
1122	67	66
1123	67	67
1124	67	67
1125	68	67
1126	68	68
1127	69	68
1128	69	68
1129	70	69
1130	70	69
1131	70	69
1132	71	70
1133	71	70
1134	72	70
1135	72	71
1136	73	71
1137	73	71
1138	73	72
1139	74	72
1140	74	72
1141	75	73
1142	75	73
1143	76	73
1144	76	74
1145	76	74
1146	77	74
1147	77	75
1148	78	75
1149	78	75
1150	79	76
1151	79	76
1152	79	76
1153	80	77
1154	80	77
1155	81	77
1156	81	78
1157	81	78
1158	82	79
1159	82	79
1160	83	79
1161	83	80
1162	83	80
1163	84	80
1164	84	81
1165	85	81
1166	85	81
1167	85	82
1168	86	82
1169	86	82
1170	87	83
1171	87	83
1172	87	83
1173	88	84
1174	88	84
1175	88	85
1176	89	85
1177	89	85
1178	90	86
1179	90	86
1180	90	86
1181	91	87
1182	91	87
1183	91	88
1184	92	88
1185	92	88
1186	92	89
1187	93	89
1188	93	90
1189	93	90
1190	94	90
1191	94	91
1192	94	91
1193	95	92
1194	95	92
1195	95	92
1196	96	93
1197	96	93
1198	96	94
1199	97	94
1200	97	95
1201	97	95
1202	97	96
1203	98	96
1204	98	96
1205	98	97
1206	99	97
1207	99	98
1208	99	98
1209	99	99
1210	100	99
1211	100	100
1212	100	100
1213	100	101
1214	101	101
1215	101	102
1216	101	102
1217	101	103
1218	102	103
1219	102	104
1220	102	104
1221	102	105
1222	102	105
1223	103	106
1224	103	106
1225	103	107
1226	103	107
1227	103	108
1228	103	109
1229	104	109
1230	104	110
1231	104	110
1232	104	111
1233	104	111
1234	104	112
1235	105	112
1236	105	113
1237	105	114
1238	105	114
1239	105	115
1240	105	115
1241	105	116
1242	105	116
1243	106	117
1244	106	118
1245	106	118
1246	106	119
1247	106	119
1248	106	120
1249	106	120
1250	106	121
1251	106	122
1252	106	122
1253	106	123
1254	106	123
1255	106	124
1256	106	125
1257	106	125
1258	106	126
1259	106	126
1260	106	127
1261	106	127
1262	106	128
1263	106	129
1264	106	129
1265	106	130
1266	106	130
1267	106	131
1268	106	131
1269	106	132
1270	106	133
1271	106	133
1272	106	134
1273	106	134
1274	106	135
1275	106	135
1276	105	136
1277	105	137
1278	105	137
1279	105	138
1280	105	138
1281	105	139
1282	105	139
1283	105	140
1284	104	140
1285	104	141
1286	104	141
1287	104	142
1288	104	143
1289	104	143
1290	103	144
1291	103	144
1292	103	145
1293	103	145
1294	102	146
