CYCLE	CMDPOS0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	1
617	1
618	1
619	1
620	1
621	1
622	1
623	1
624	2
625	2
626	2
627	2
628	2
629	3
630	3
631	3
632	3
633	4
634	4
635	4
636	5
637	5
638	5
639	5
640	6
641	6
642	6
643	7
644	7
645	8
646	8
647	8
648	9
649	9
650	10
651	10
652	11
653	11
654	12
655	12
656	13
657	13
658	14
659	14
660	15
661	15
662	16
663	16
664	17
665	17
666	18
667	19
668	19
669	20
670	20
671	21
672	22
673	22
674	23
675	24
676	25
677	25
678	26
679	27
680	27
681	28
682	29
683	30
684	30
685	31
686	32
687	33
688	34
689	34
690	35
691	36
692	37
693	38
694	39
695	40
696	41
697	41
698	42
699	43
700	44
701	45
702	46
703	47
704	48
705	49
706	50
707	51
708	52
709	53
710	54
711	55
712	56
713	57
714	58
715	59
716	60
717	60
718	61
719	62
720	63
721	64
722	65
723	66
724	66
725	67
726	68
727	69
728	70
729	70
730	71
731	72
732	73
733	73
734	74
735	75
736	76
737	76
738	77
739	78
740	78
741	79
742	80
743	80
744	81
745	81
746	82
747	83
748	83
749	84
750	84
751	85
752	85
753	86
754	86
755	87
756	88
757	88
758	88
759	89
760	89
761	90
762	90
763	91
764	91
765	92
766	92
767	92
768	93
769	93
770	94
771	94
772	94
773	95
774	95
775	95
776	96
777	96
778	96
779	96
780	97
781	97
782	97
783	97
784	98
785	98
786	98
787	98
788	98
789	99
790	99
791	99
792	99
793	99
794	99
795	99
796	100
797	100
798	100
799	100
800	100
801	100
802	100
803	100
804	100
805	100
806	100
807	100
808	100
809	100
810	100
811	100
812	100
813	100
814	100
815	100
816	100
817	100
818	100
819	100
820	100
821	100
822	100
823	100
824	100
825	100
826	100
827	100
828	100
829	100
830	100
831	100
832	100
833	100
834	100
835	100
836	100
837	100
838	100
839	100
840	100
841	100
842	100
843	100
844	100
845	100
846	100
847	100
848	100
849	100
850	100
851	100
852	100
853	100
854	100
855	100
856	100
857	100
858	100
859	100
860	100
861	100
862	100
863	100
864	100
865	100
866	100
867	100
868	100
869	100
870	100
871	100
872	100
873	100
874	100
875	100
876	100
877	100
878	100
879	100
880	100
881	100
