CYCLE	CMDPOS0	CMDPOS1	CMDPOS2	CMDPOS3
1570	0	0	0	0
1571	0	0	0	0
1572	0	0	0	0
1573	0	0	0	0
1574	0	0	0	0
1575	0	0	0	0
1576	0	0	0	0
1577	0	0	0	0
1578	0	0	0	0
1579	0	0	0	0
1580	0	0	0	0
1581	0	0	0	0
1582	0	0	0	0
1583	0	0	0	0
1584	0	0	0	0
1585	0	0	0	0
1586	0	0	0	0
1587	0	0	0	0
1588	0	0	0	0
1589	0	0	0	0
1590	0	0	0	0
1591	0	0	0	0
1592	0	0	0	0
1593	0	0	0	0
1594	0	0	0	0
1595	0	0	0	0
1596	0	0	0	0
1597	0	0	0	0
1598	0	0	0	0
1599	0	0	0	0
1600	1	0	0	0
1601	1	0	0	0
1602	1	0	0	0
1603	1	0	0	0
1604	1	0	0	0
1605	1	0	0	0
1606	1	0	0	0
1607	1	0	0	0
1608	1	0	0	0
1609	1	0	0	0
1610	1	0	0	0
1611	1	0	0	0
1612	2	0	0	0
1613	2	0	0	1
1614	2	0	0	1
1615	2	0	0	1
1616	2	0	0	1
1617	2	0	0	1
1618	2	0	0	1
1619	2	0	0	1
1620	3	0	0	1
1621	3	0	0	1
1622	3	0	0	1
1623	3	0	0	1
1624	3	0	0	1
1625	3	0	0	1
1626	4	0	0	1
1627	4	0	0	1
1628	4	0	0	1
1629	4	0	0	1
1630	4	0	0	1
1631	4	0	0	1
1632	5	0	0	1
1633	5	0	0	2
1634	5	0	0	2
1635	5	0	0	2
1636	5	0	0	2
1637	6	0	0	2
1638	6	0	0	2
1639	6	0	0	2
1640	6	0	0	2
1641	6	0	0	2
1642	7	0	0	2
1643	7	0	0	2
1644	7	0	0	2
1645	7	0	0	2
1646	8	0	0	2
1647	8	0	0	3
1648	8	0	0	3
1649	8	0	0	3
1650	9	0	0	3
1651	9	0	0	3
1652	9	0	0	3
1653	10	0	0	3
1654	10	0	0	3
1655	10	1	0	3
1656	10	1	0	3
1657	11	1	0	3
1658	11	1	0	3
1659	11	1	0	4
1660	12	1	0	4
1661	12	1	0	4
1662	12	1	0	4
1663	12	1	0	4
1664	13	1	0	4
1665	13	1	0	4
1666	13	1	0	4
1667	14	1	0	4
1668	14	1	0	4
1669	14	1	0	5
1670	15	1	0	5
1671	15	1	0	5
1672	15	1	0	5
1673	16	1	0	5
1674	16	1	0	5
1675	16	1	0	5
1676	17	1	0	5
1677	17	1	0	6
1678	18	2	0	6
1679	18	2	0	6
1680	18	2	0	6
1681	19	2	0	6
1682	19	2	0	6
1683	19	2	0	6
1684	20	2	0	6
1685	20	2	0	6
1686	21	2	0	7
1687	21	2	0	7
1688	21	2	0	7
1689	22	2	0	7
1690	22	3	0	7
1691	23	3	0	7
1692	23	3	0	7
1693	24	3	0	8
1694	24	3	0	8
1695	24	3	0	8
1696	25	3	0	8
1697	25	3	0	8
1698	26	3	0	8
1699	26	3	0	8
1700	27	4	0	9
1701	27	4	0	9
1702	27	4	0	9
1703	28	4	0	9
1704	28	4	0	9
1705	29	4	0	9
1706	29	4	0	9
1707	30	5	0	10
1708	30	5	0	10
1709	31	5	0	10
1710	31	5	0	10
1711	32	5	0	10
1712	32	5	0	10
1713	33	5	0	11
1714	33	6	0	11
1715	34	6	0	11
1716	34	6	0	11
1717	35	6	0	11
1718	35	6	0	11
1719	36	7	0	12
1720	36	7	0	12
1721	37	7	0	12
1722	37	7	0	12
1723	38	7	0	12
1724	38	8	0	12
1725	39	8	0	13
1726	39	8	0	13
1727	40	8	0	13
1728	40	8	0	13
1729	41	9	0	13
1730	41	9	0	14
1731	42	9	0	14
1732	42	9	0	14
1733	43	10	0	14
1734	43	10	0	14
1735	44	10	0	15
1736	45	10	0	15
1737	45	11	0	15
1738	46	11	0	15
1739	46	11	0	15
1740	47	12	0	15
1741	47	12	0	16
1742	48	12	0	16
1743	48	13	0	16
1744	49	13	0	16
1745	50	13	0	17
1746	50	13	0	17
1747	51	14	0	17
1748	51	14	0	17
1749	52	14	0	17
1750	52	15	0	18
1751	53	15	0	18
1752	53	16	0	18
1753	54	16	0	18
1754	55	16	0	18
1755	55	17	0	19
1756	56	17	0	19
1757	56	17	0	19
1758	57	18	0	19
1759	57	18	0	19
1760	58	19	0	20
1761	59	19	0	20
1762	59	19	0	20
1763	60	20	0	20
1764	60	20	0	21
1765	61	21	0	21
1766	62	21	0	21
1767	62	22	0	21
1768	63	22	0	22
1769	63	23	0	22
1770	64	23	0	22
1771	64	23	0	22
1772	65	24	0	23
1773	66	24	0	23
1774	66	25	0	23
1775	67	25	0	23
1776	67	26	0	23
1777	68	26	0	24
1778	68	27	0	24
1779	69	28	0	24
1780	69	28	0	24
1781	70	29	0	25
1782	71	29	0	25
1783	71	30	0	25
1784	72	30	0	25
1785	72	31	0	26
1786	73	31	0	26
1787	73	32	0	26
1788	74	33	0	26
1789	74	33	0	27
1790	75	34	0	27
1791	75	34	0	27
1792	76	35	0	27
1793	76	35	0	28
1794	77	36	0	28
1795	77	37	0	28
1796	78	37	0	28
1797	78	38	0	29
1798	79	38	0	29
1799	79	39	0	29
1800	80	39	0	29
1801	80	40	0	30
1802	80	41	0	30
1803	81	41	0	30
1804	81	42	0	30
1805	82	42	0	30
1806	82	43	0	31
1807	82	43	0	31
1808	83	44	0	31
1809	83	45	0	31
1810	84	45	0	32
1811	84	46	0	32
1812	84	46	0	32
1813	85	47	0	32
1814	85	47	0	32
1815	85	48	0	33
1816	86	49	0	33
1817	86	49	0	33
1818	86	50	0	33
1819	87	50	0	33
1820	87	51	0	34
1821	87	51	0	34
1822	88	52	0	34
1823	88	52	0	34
1824	88	53	0	34
1825	89	54	0	35
1826	89	54	0	35
1827	89	55	0	35
1828	89	55	0	35
1829	90	56	0	35
1830	90	56	0	36
1831	90	57	0	36
1832	90	57	0	36
1833	91	58	0	36
1834	91	58	0	36
1835	91	59	0	37
1836	91	60	0	37
1837	92	60	0	37
1838	92	61	0	37
1839	92	61	0	37
1840	92	62	0	37
1841	93	62	0	38
1842	93	63	0	38
1843	93	63	0	38
1844	93	64	0	38
1845	93	64	0	38
1846	94	65	0	39
1847	94	65	0	39
1848	94	66	0	39
1849	94	66	0	39
1850	94	67	0	39
1851	94	67	0	39
1852	95	68	0	40
1853	95	68	0	40
1854	95	69	0	40
1855	95	69	0	40
1856	95	70	0	40
1857	95	70	0	40
1858	96	71	0	40
1859	96	71	0	41
1860	96	71	0	41
1861	96	72	0	41
1862	96	72	0	41
1863	96	73	0	41
1864	96	73	0	41
1865	96	74	0	42
1866	97	74	0	42
1867	97	75	0	42
1868	97	75	0	42
1869	97	75	0	42
1870	97	76	0	42
1871	97	76	0	42
1872	97	77	0	43
1873	97	77	0	43
1874	97	78	0	43
1875	98	78	0	43
1876	98	78	0	43
1877	98	79	0	43
1878	98	79	0	43
1879	98	80	0	43
1880	98	80	0	44
1881	98	80	0	44
1882	98	81	0	44
1883	98	81	0	44
1884	98	82	0	44
1885	98	82	0	44
1886	98	82	0	44
1887	98	83	0	44
1888	99	83	0	45
1889	99	83	0	45
1890	99	84	0	45
1891	99	84	0	45
1892	99	84	0	45
1893	99	85	0	45
1894	99	85	0	45
1895	99	85	0	45
1896	99	86	0	45
1897	99	86	0	46
1898	99	86	0	46
1899	99	87	0	46
1900	99	87	0	46
1901	99	87	0	46
1902	99	88	0	46
1903	99	88	0	46
1904	99	88	0	46
1905	99	89	0	46
1906	99	89	0	46
1907	99	89	0	47
1908	99	90	0	47
1909	99	90	0	47
1910	100	90	0	47
1911	100	90	0	47
1912	100	91	0	47
1913	100	91	0	47
1914	100	91	0	47
1915	100	91	0	47
1916	100	92	0	47
1917	100	92	0	47
1918	100	92	0	48
1919	100	92	0	48
1920	100	93	0	48
1921	100	93	0	48
1922	100	93	0	48
1923	100	93	0	48
1924	100	94	0	48
1925	100	94	0	48
1926	100	94	0	48
1927	100	94	0	48
1928	100	95	0	48
1929	100	95	0	48
1930	100	95	0	48
1931	100	95	0	48
1932	100	95	0	49
1933	100	96	0	49
1934	100	96	0	49
1935	100	96	0	49
1936	100	96	0	49
1937	100	96	0	49
1938	100	96	0	49
1939	100	97	0	49
1940	100	97	0	49
1941	100	97	0	49
1942	100	97	0	49
1943	100	97	0	49
1944	100	97	0	49
1945	100	98	0	49
1946	100	98	0	49
1947	100	98	0	49
1948	100	98	0	49
1949	100	98	0	49
1950	100	98	0	49
1951	100	98	0	49
1952	100	98	0	49
1953	100	99	0	50
1954	100	99	0	50
1955	100	99	0	50
1956	100	99	0	50
1957	100	99	0	50
1958	100	99	0	50
1959	100	99	0	50
1960	100	99	0	50
1961	100	99	0	50
1962	100	99	0	50
1963	100	99	0	50
1964	100	99	0	50
1965	100	100	0	50
1966	100	100	0	50
1967	100	100	0	50
1968	100	100	0	50
1969	100	100	0	50
1970	100	100	0	50
1971	100	100	0	50
1972	100	100	0	50
1973	100	100	0	50
1974	100	100	0	50
1975	100	100	0	50
1976	100	100	0	50
1977	100	100	0	50
1978	100	100	0	50
1979	100	100	0	50
1980	100	100	0	50
1981	100	100	0	50
1982	100	100	0	50
1983	100	100	0	50
1984	100	100	0	50
1985	100	100	0	50
1986	100	100	0	50
1987	100	100	0	50
1988	100	100	0	50
1989	100	100	0	50
1990	100	100	0	50
1991	100	100	0	50
1992	100	100	0	50
1993	100	100	0	50
1994	100	100	0	50
1995	100	100	0	50
1996	100	100	0	50
1997	99	100	0	50
1998	99	100	0	50
1999	99	100	0	50
2000	99	100	0	50
2001	99	100	0	50
2002	99	100	0	50
2003	99	100	0	50
2004	99	100	0	50
2005	99	100	0	50
2006	99	100	0	50
2007	99	100	0	50
2008	98	100	0	50
2009	98	100	0	51
2010	98	100	0	51
2011	98	100	0	51
2012	98	100	0	51
2013	98	100	0	51
2014	98	100	0	51
2015	98	100	0	51
2016	97	100	0	51
2017	97	100	0	51
2018	97	100	0	51
2019	97	100	0	51
2020	97	100	0	51
2021	97	100	0	51
2022	97	100	0	51
2023	96	100	0	51
2024	96	100	0	51
2025	96	100	0	51
2026	96	100	0	51
2027	96	100	0	51
2028	95	100	0	51
2029	95	100	0	52
2030	95	100	0	52
2031	95	100	0	52
2032	95	100	0	52
2033	94	100	0	52
2034	94	100	0	52
2035	94	100	0	52
2036	94	100	0	52
2037	94	100	0	52
2038	93	100	0	52
2039	93	100	0	52
2040	93	100	0	52
2041	93	100	0	52
2042	92	100	0	52
2043	92	100	0	53
2044	92	100	0	53
2045	92	100	0	53
2046	91	100	0	53
2047	91	100	0	53
2048	91	100	0	53
2049	91	100	0	53
2050	90	100	0	53
2051	90	100	0	53
2052	90	99	0	53
2053	89	99	0	53
2054	89	99	0	53
2055	89	99	0	54
2056	89	99	0	54
2057	88	99	0	54
2058	88	99	0	54
2059	88	99	0	54
2060	87	99	0	54
2061	87	99	0	54
2062	87	99	0	54
2063	86	99	0	54
2064	86	99	0	54
2065	86	99	0	55
2066	85	99	0	55
2067	85	99	0	55
2068	85	99	0	55
2069	84	99	0	55
2070	84	99	0	55
2071	84	99	0	55
2072	83	99	0	55
2073	83	99	0	55
2074	83	98	0	56
2075	82	98	0	56
2076	82	98	0	56
2077	81	98	0	56
2078	81	98	0	56
2079	81	98	0	56
2080	80	98	0	56
2081	80	98	0	56
2082	79	98	0	57
2083	79	98	0	57
2084	79	98	0	57
2085	78	98	0	57
2086	78	98	0	57
2087	77	97	0	57
2088	77	97	0	57
2089	77	97	0	58
2090	76	97	0	58
2091	76	97	0	58
2092	75	97	0	58
2093	75	97	0	58
2094	74	97	0	58
2095	74	97	0	58
2096	74	96	0	59
2097	73	96	0	59
2098	73	96	0	59
2099	72	96	0	59
2100	72	96	0	59
2101	71	96	0	59
2102	71	96	0	59
2103	70	96	0	60
2104	70	95	0	60
2105	69	95	0	60
2106	69	95	0	60
2107	68	95	0	60
2108	68	95	0	60
2109	67	95	0	61
2110	67	94	0	61
2111	67	94	0	61
2112	66	94	0	61
2113	66	94	0	61
2114	65	94	0	61
2115	65	93	0	62
2116	64	93	0	62
2117	64	93	0	62
2118	63	93	0	62
2119	62	93	0	62
2120	62	92	0	62
2121	61	92	0	63
2122	61	92	0	63
2123	60	92	0	63
2124	60	92	0	63
2125	59	91	0	63
2126	59	91	0	64
2127	58	91	0	64
2128	58	91	0	64
2129	57	90	0	64
2130	57	90	0	64
2131	56	90	0	64
2132	56	90	0	65
2133	55	89	0	65
2134	55	89	0	65
2135	54	89	0	65
2136	53	88	0	65
2137	53	88	0	66
2138	52	88	0	66
2139	52	88	0	66
2140	51	87	0	66
2141	51	87	0	66
2142	50	87	0	67
2143	50	86	0	67
2144	49	86	0	67
2145	48	86	0	67
2146	48	85	0	67
2147	47	85	0	68
2148	47	85	0	68
2149	46	84	0	68
2150	46	84	0	68
2151	45	84	0	69
2152	44	83	0	69
2153	44	83	0	69
2154	43	82	0	69
2155	43	82	0	69
2156	42	82	0	70
2157	42	81	0	70
2158	41	81	0	70
