CYCLE	CMDPOS0	CMDPOS1
920	0	0
921	0	0
922	0	0
923	0	0
924	0	0
925	0	0
926	0	0
927	0	0
928	0	0
929	0	0
930	0	0
931	0	0
932	0	0
933	0	0
934	0	0
935	0	0
936	0	0
937	0	1
938	0	1
939	1	1
940	1	1
941	1	1
942	1	2
943	1	2
944	1	2
945	1	3
946	1	3
947	2	3
948	2	4
949	2	4
950	2	4
951	2	5
952	3	5
953	3	6
954	3	6
955	3	7
956	4	7
957	4	8
958	4	8
959	5	9
960	5	10
961	5	10
962	5	11
963	6	12
964	6	12
965	6	13
966	7	14
967	7	14
968	8	15
969	8	16
970	8	17
971	9	18
972	9	18
973	10	19
974	10	20
975	11	21
976	11	22
977	12	23
978	12	24
979	13	25
980	13	26
981	14	27
982	14	28
983	15	29
984	15	30
985	16	31
986	16	32
987	17	34
988	17	35
989	18	36
990	19	37
991	19	38
992	20	40
993	20	41
994	21	42
995	22	44
996	22	45
997	23	46
998	24	48
999	25	49
1000	25	50
1001	26	52
1002	27	53
1003	27	55
1004	28	56
1005	29	58
1006	30	59
1007	30	61
1008	31	62
1009	32	64
1010	33	66
1011	34	67
1012	34	69
1013	35	71
1014	36	72
1015	37	74
1016	38	76
1017	39	77
1018	40	79
1019	41	81
1020	41	83
1021	42	85
1022	43	86
1023	44	88
1024	45	90
1025	46	92
1026	47	94
1027	48	96
1028	49	98
1029	50	100
1030	51	102
1031	52	104
1032	53	106
1033	54	108
1034	54	110
1035	55	112
1036	56	114
1037	57	116
1038	57	118
1039	58	120
1040	58	121
1041	59	123
1042	59	125
1043	60	127
1044	60	129
1045	60	131
1046	61	133
1047	61	134
1048	61	136
1049	62	138
1050	62	140
1051	62	142
1052	62	143
1053	62	145
1054	63	147
1055	63	149
1056	63	150
1057	63	152
1058	63	154
1059	63	156
1060	63	157
1061	63	159
1062	63	161
1063	63	162
1064	63	164
1065	63	166
1066	63	167
1067	63	169
1068	63	170
1069	63	172
1070	63	174
1071	63	175
1072	63	177
1073	63	178
1074	63	180
1075	63	181
1076	63	183
1077	63	184
1078	63	186
1079	63	188
1080	63	189
1081	63	190
1082	63	192
1083	63	193
1084	63	195
1085	63	196
1086	63	198
1087	63	199
1088	63	201
1089	63	202
1090	63	203
1091	64	205
1092	64	206
1093	64	208
1094	64	209
1095	65	210
1096	65	212
1097	65	213
1098	66	214
1099	66	216
1100	67	217
1101	67	218
1102	68	219
1103	68	221
1104	69	222
1105	69	223
1106	70	224
1107	71	226
1108	72	227
1109	72	228
1110	73	229
1111	74	230
1112	75	232
1113	76	233
1114	77	234
1115	78	235
1116	79	236
1117	81	237
1118	82	238
1119	83	240
1120	85	241
1121	86	242
1122	88	243
1123	89	244
1124	91	245
1125	93	246
1126	94	247
1127	96	248
1128	98	249
1129	100	250
1130	102	251
1131	104	252
1132	106	253
1133	108	254
1134	110	255
1135	112	256
1136	114	257
1137	115	258
1138	117	259
1139	119	260
1140	121	260
1141	123	261
1142	124	262
1143	126	263
1144	128	264
1145	129	265
1146	131	266
1147	133	266
1148	134	267
1149	136	268
1150	138	269
1151	139	270
1152	141	270
1153	142	271
1154	144	272
1155	145	273
1156	147	273
1157	148	274
1158	150	275
1159	151	276
1160	152	276
1161	154	277
1162	155	278
1163	156	278
1164	158	279
1165	159	280
1166	160	280
1167	162	281
1168	163	281
1169	164	282
1170	165	283
1171	166	283
1172	168	284
1173	169	284
1174	170	285
1175	171	285
1176	172	286
1177	173	286
1178	174	287
1179	175	288
1180	176	288
1181	177	288
1182	178	289
1183	179	289
1184	180	290
1185	181	290
1186	182	291
1187	182	291
1188	183	292
1189	184	292
1190	185	292
1191	186	293
1192	186	293
1193	187	294
1194	188	294
1195	188	294
1196	189	295
1197	190	295
1198	190	295
1199	191	296
1200	192	296
1201	192	296
1202	193	296
1203	193	297
1204	194	297
1205	194	297
1206	195	297
1207	195	298
1208	196	298
1209	196	298
1210	196	298
1211	197	298
1212	197	299
1213	197	299
1214	198	299
1215	198	299
1216	198	299
1217	199	299
1218	199	299
1219	199	300
1220	199	300
1221	199	300
1222	200	300
1223	200	300
1224	200	300
1225	200	300
1226	200	300
1227	200	300
1228	200	300
1229	200	300
1230	200	300
1231	200	300
1232	200	300
1233	200	300
1234	200	300
1235	200	300
1236	200	300
1237	200	300
1238	200	300
1239	200	300
1240	200	300
1241	200	300
1242	200	300
1243	200	300
1244	200	300
1245	200	300
1246	200	300
1247	200	300
1248	200	300
1249	200	300
1250	200	300
1251	200	300
1252	200	300
1253	200	300
1254	200	300
1255	200	300
1256	200	300
1257	200	300
1258	200	300
1259	200	300
1260	200	300
1261	200	300
1262	200	300
1263	200	300
1264	200	300
1265	200	300
1266	200	300
1267	200	300
1268	200	300
1269	200	300
1270	200	300
1271	200	300
1272	200	300
1273	200	300
1274	200	300
1275	200	300
1276	200	300
1277	200	300
1278	200	300
1279	200	300
1280	200	300
1281	200	300
1282	200	300
1283	200	300
1284	200	300
1285	200	300
1286	200	300
1287	200	300
1288	200	300
1289	200	300
1290	200	300
1291	200	300
1292	200	300
1293	200	300
1294	200	300
1295	200	300
1296	200	300
1297	200	300
1298	200	300
1299	200	300
1300	200	300
1301	200	300
1302	200	300
