CYCLE	CMDPOS4	CMDPOS5	CMDPOS8
1247	0	0	0
1248	0	0	0
1249	0	0	0
1250	0	0	0
1251	0	0	0
1252	0	0	0
1253	0	0	0
1254	0	0	0
1255	0	0	0
1256	-0	0	0
1257	-0	0	0
1258	-0	0	0
1259	-0	0	0
1260	-0	0	0
1261	-0	0	0
1262	-0	0	0
1263	-0	0	0
1264	-0	0	0
1265	-0	0	0
1266	-0	0	0
1267	-1	0	0
1268	-1	1	0
1269	-1	1	0
1270	-1	1	0
1271	-1	1	0
1272	-1	1	0
1273	-1	1	0
1274	-1	1	0
1275	-2	1	0
1276	-2	1	0
1277	-2	2	0
1278	-2	2	0
1279	-2	2	0
1280	-2	2	0
1281	-3	2	0
1282	-3	2	0
1283	-3	3	0
1284	-3	3	0
1285	-3	3	0
1286	-4	3	0
1287	-4	3	0
1288	-4	4	0
1289	-4	4	0
1290	-5	4	0
1291	-5	4	0
1292	-5	4	0
1293	-5	5	1
1294	-6	5	1
1295	-6	5	1
1296	-6	6	1
1297	-7	6	1
1298	-7	6	1
1299	-7	6	1
1300	-8	7	1
1301	-8	7	1
1302	-8	7	1
1303	-9	8	1
1304	-9	8	1
1305	-9	8	1
1306	-10	9	1
1307	-10	9	1
1308	-10	9	1
1309	-11	10	1
1310	-11	10	1
1311	-11	11	1
1312	-12	11	1
1313	-12	11	1
1314	-13	12	1
1315	-13	12	1
1316	-14	13	1
1317	-14	13	1
1318	-14	14	1
1319	-15	14	1
1320	-15	15	2
1321	-16	15	2
1322	-16	16	2
1323	-17	16	2
1324	-17	17	2
1325	-17	17	2
1326	-18	18	2
1327	-18	18	2
1328	-19	19	2
1329	-19	19	2
1330	-20	20	2
1331	-20	20	2
1332	-21	21	2
1333	-21	22	2
1334	-22	22	2
1335	-22	23	2
1336	-23	23	2
1337	-23	24	2
1338	-24	25	2
1339	-24	25	3
1340	-25	26	3
1341	-25	27	3
1342	-26	27	3
1343	-26	28	3
1344	-27	29	3
1345	-27	30	3
1346	-28	30	3
1347	-28	31	3
1348	-29	32	3
1349	-29	33	3
1350	-30	33	3
1351	-30	34	3
1352	-31	35	3
1353	-32	36	3
1354	-32	37	3
1355	-33	37	4
1356	-33	38	4
1357	-34	39	4
1358	-34	40	4
1359	-35	41	4
1360	-35	42	4
1361	-36	43	4
1362	-36	44	4
1363	-37	45	4
1364	-37	46	4
1365	-38	46	4
1366	-38	47	4
1367	-39	48	4
1368	-39	49	5
1369	-40	50	5
1370	-40	51	5
1371	-41	52	5
1372	-41	53	5
1373	-42	54	5
1374	-42	55	5
1375	-42	56	5
1376	-43	57	5
1377	-43	58	5
1378	-44	59	5
1379	-44	60	5
1380	-45	61	5
1381	-45	62	6
1382	-45	63	6
1383	-46	64	6
1384	-46	65	6
1385	-46	66	6
1386	-47	67	6
1387	-47	68	6
1388	-48	69	6
1389	-48	70	6
1390	-48	71	6
1391	-49	72	6
1392	-49	73	6
1393	-49	74	6
1394	-49	75	6
1395	-50	76	7
1396	-50	77	7
1397	-50	78	7
1398	-51	79	7
1399	-51	80	7
1400	-51	81	7
1401	-51	82	7
1402	-52	83	7
1403	-52	84	7
1404	-52	85	7
1405	-52	86	7
1406	-53	87	7
1407	-53	88	7
1408	-53	89	8
1409	-53	90	8
1410	-54	91	8
1411	-54	92	8
1412	-54	93	8
1413	-54	94	8
1414	-54	95	8
1415	-54	96	8
1416	-55	97	8
1417	-55	98	8
1418	-55	99	8
1419	-55	101	8
1420	-55	102	8
1421	-55	103	9
1422	-55	104	9
1423	-55	105	9
1424	-56	106	9
1425	-56	107	9
1426	-56	108	9
1427	-56	109	9
1428	-56	110	9
1429	-56	111	9
1430	-56	112	9
1431	-56	113	9
1432	-56	114	9
1433	-56	115	9
1434	-56	116	9
1435	-56	117	10
1436	-56	118	10
1437	-56	120	10
1438	-56	121	10
1439	-56	122	10
1440	-56	123	10
1441	-56	124	10
1442	-56	125	10
1443	-56	126	10
1444	-56	127	10
1445	-56	128	10
1446	-56	129	10
1447	-56	130	10
1448	-56	131	11
1449	-56	132	11
1450	-56	133	11
1451	-56	134	11
1452	-55	135	11
1453	-55	136	11
1454	-55	137	11
1455	-55	138	11
1456	-55	140	11
1457	-55	141	11
1458	-55	142	11
1459	-55	143	11
1460	-54	144	11
1461	-54	145	12
1462	-54	146	12
1463	-54	147	12
1464	-54	148	12
1465	-54	149	12
1466	-53	150	12
1467	-53	151	12
1468	-53	152	12
1469	-53	153	12
1470	-52	154	12
1471	-52	155	12
1472	-52	156	12
1473	-52	157	12
1474	-51	158	13
